token			lexeme
______________________________
keyword			while
separator		(
identifier		fahr
operator		<=
identifier		upper
separator		)
identifier		a
operator		=
real			23.00
separator		;
identifier		a
identifier		b
identifier		a
identifier		d
real			12.2
integer			743
invalid			.313
real			344.23
invalid			131.fvfv
integer			2
invalid			113vjhv
identifier		hello
operator		=
integer			1
separator		;
identifier		h3llo
operator		=
real			2.2
separator		;
identifier		Hello
operator		=
real			3.333
separator		;
invalid			hell0
operator		=
real			4.4444
separator		;
identifier		a1234a
