token			lexeme
_________________________________
keyword			function
identifier		AddNums
separator		(
identifier		int
identifier		numOne
separator		,
identifier		int
identifier		numTwo
separator		)
separator		{
identifier		int
identifier		newSum
separator		;
identifier		newSum
operator		=
identifier		numOne
operator		+
identifier		numTwo
separator		;
identifier		return
identifier		newSum
separator		}
keyword			function
identifier		SubNums
separator		(
identifier		int
identifier		numOne
separator		,
identifier		int
identifier		numTwo
separator		)
separator		{
identifier		int
identifier		newDiff
separator		;
identifier		newDiff
operator		=
identifier		numOne
operator		-
identifier		numTwo
separator		;
identifier		return
identifier		newDiff
separator		;
separator		}
keyword			function
identifier		ConvertToCelcius
separator		(
keyword			real
identifier		tempInF
separator		)
separator		{
keyword			real
identifier		tempCel
separator		;
identifier		tempCel
operator		=
identifier		tempInF
operator		*
separator		(
illegal			5/9
separator		)
operator		+
integer			32
separator		;
identifier		return
identifier		tempCel
separator		;
separator		}
