token			lexeme
_________________________________
keyword			function
identifier		factorial
separator		(
identifier		n
keyword			integer
separator		)
separator		{
keyword			integer
identifier		result
separator		;
keyword			if
separator		(
identifier		n
operator		<=
integer			1
separator		)
separator		{
keyword			ret
integer			1
separator		;
separator		}
keyword			else
separator		{
identifier		result
operator		=
identifier		n
operator		*
identifier		factorial
separator		(
identifier		n
operator		-
integer			1
separator		)
separator		;
keyword			ret
identifier		result
separator		;
separator		}
keyword			endif
separator		}
